runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19920202 | 0:43:20 |  10.0 | 4:20 |     |     |     asics| catimivik,kakulu,towncentre...  
19920203 | 0:35:00 |   8.0 | 4:22 |     |     |     asics| grandview  
19920204 | 0:40:00 |   8.0 | 5:00 |     |     |     asics| 10x400@75,77,77,77,79,77,77,78,76,75 + 4k  
19920205 | 0:34:20 |   8.0 | 4:17 |     |     |     asics| grandview  
19920210 | 0:51:43 |  11.5 | 4:29 |     |     |     asics| work to home  
19920211 | 0:50:09 |  11.4 | 4:23 |     |     |     asics| work to home  
19920213 | 0:32:36 |   8.0 | 4:04 |     |     |     asics| grandview  
19920215 | 0:39:02 |  10.0 | 3:54 |     |     |     asics| RACE - Confederation Run  
19920216 | 0:40:29 |   9.7 | 4:10 |     |     |     asics| home,eagleson,fernbank to stittsville  
19920217 | 0:34:21 |   7.5 | 4:34 |     |     |     asics| grandview + 2 loops, ringroad TOTAL 948.6  
19920218 | 0:49:28 |  11.8 | 4:11 |     |     |     asics| work to home  
19920220 | 0:33:51 |   8.0 | 4:13 |     |     |     asics| grandview  
19920221 | 0:43:50 |  10.2 | 4:17 |     |     |     asics| moodie corkstown to over hill  
19920222 | 0:39:59 |   9.7 | 4:07 |     |     |     asics| narrows lock road  
19920223 | 1:00:00 |  13.0 | 4:36 |     |     |     asics| castlefrank,kati,wave,reeves,kati,wave,reeve  
19920224 | 0:50:30 |  11.8 | 4:16 |     |     |     asics| work to home  
19920225 | 0:31:52 |   8.0 | 3:59 |     |     |     asics| grandview  
19920226 | 0:31:20 |   8.0 | 3:55 |     |     |     asics| grandview  
19920227 | 0:34:41 |   8.0 | 4:20 |     |     |     asics| grandview  
19920228 | 0:52:23 |  11.8 | 4:26 |     |     |     asics| work to home  
19920229 | 0:42:23 |  10.0 | 4:14 |     |     |     asics| catimivik,kakulu,towncentre...  
19920301 | 1:31:30 |  20.0 | 4:34 |     |     |     asics| tfox,glenmaur to cheshire cat  
19920302 | 0:34:30 |   8.0 | 4:18 |     |     |     asics| grandview  
Total for asics is 1081
NEW 120
19920303 | 1:31:01 |  20.0 | 4:33 |     |     |       120| work to home plus loop at home  
19920305 | 0:52:44 |  13.2 | 3:59 |     |     |       120| corkstown to eagleson  
19920306 | 0:56:44 |  13.0 | 4:21 |     |     |       120| work to home + melanie  
19920307 | 1:51:12 |  25.0 | 4:26 |     |     |       120| tfox,glenmaur to cheshire cat,loblaws,kakulu  
19920308 | 0:40:46 |  10.0 | 4:04 |     |     |       120| catimivik,kakulu,towncentre...  
19920309 | 0:33:56 |   8.0 | 4:14 |     |     |       120| grandview  
19920310 | 0:52:57 |  11.8 | 4:29 |     |     |       120| work to home  
19920313 | 0:35:53 |   8.0 | 4:29 |     |     |       120| grandview  
